mcc,description,classification
3629,DAN HOTELS,Pre-Approval
3630,Hotels/Motels/Inns/Resorts,Pre-Approval
3631,Hotels/Motels/Inns/Resorts,Pre-Approval
3632,Hotels/Motels/Inns/Resorts,Pre-Approval
3633,RANK HOTELS,Pre-Approval
3634,SWISSOTEL,Pre-Approval
3635,RESO HOTELS,Pre-Approval
3636,SAROVA HOTELS,Pre-Approval
3637,"RAMADA INNS, RAMADA LIMITED",Pre-Approval
3638,"HO JO INN, HOWARD JOHNSON",Pre-Approval
3639,MOUNT CHARLOTTE THISTLE,Pre-Approval
3640,HYATT HOTEL,Pre-Approval
3641,SOFITEL HOTELS,Pre-Approval
3642,NOVOTEL HOTELS,Pre-Approval
3643,STEIGENBERGER HOTELS,Pre-Approval
3644,ECONO LODGES,Pre-Approval
3645,QUEENS MOAT HOUSES,Pre-Approval
3646,SWALLOW HOTELS,Pre-Approval
3647,HUSA HOTELS,Pre-Approval
3648,DE VERE HOTELS,Pre-Approval
3649,RADISSON HOTELS,Pre-Approval
3650,RED ROOK INNS,Pre-Approval
3651,IMPERIAL LONDON HOTEL,Pre-Approval
3652,EMBASSY HOTELS,Pre-Approval
3653,PENTA HOTELS,Pre-Approval
3654,LOEWS HOTELS,Pre-Approval
3655,SCANDIC HOTELS,Pre-Approval
3656,SARA HOTELS,Pre-Approval
3657,OBEROI HOTELS,Pre-Approval
3658,OTANI HOTELS,Pre-Approval
3659,TAJ HOTELS INTERNATIONAL,Pre-Approval
3660,KNIGHTS INNS,Pre-Approval
3661,METROPOLE HOTELS,Pre-Approval
3662,Hotels/Motels/Inns/Resorts,Pre-Approval
3663,HOTELES EL PRESIDENTS,Pre-Approval
3664,FLAG INN,Pre-Approval
3665,HAMPTON INNS,Pre-Approval
3666,STAKIS HOTELS,Pre-Approval
3667,Hotels/Motels/Inns/Resorts,Pre-Approval
3668,MARITIM HOTELS,Pre-Approval
3669,Hotels/Motels/Inns/Resorts,Pre-Approval
3670,ARCARD HOTELS,Pre-Approval
3671,ARCTIA HOTELS,Pre-Approval
3672,CAMPANIEL HOTELS,Pre-Approval
3673,IBUSZ HOTELS,Pre-Approval
3674,RANTASIPI HOTELS,Pre-Approval
3675,INTERHOTEL CEDOK,Pre-Approval
3676,Hotels/Motels/Inns/Resorts,Pre-Approval
3677,CLIMAT DE FRANCE HOTELS,Pre-Approval
3678,CUMULUS HOTELS,Pre-Approval
3679,DANUBIUS HOTEL,Pre-Approval
3680,Hotels/Motels/Inns/Resorts,Pre-Approval
3681,ADAMS MARK HOTELS,Pre-Approval
3682,ALLSTAR INNS,Pre-Approval
3683,Hotels/Motels/Inns/Resorts,Pre-Approval
3684,BUDGET HOST INNS,Pre-Approval
3685,BUDGETEL HOTELS,Pre-Approval
3686,SUISSE CHALETS,Pre-Approval
3687,CLARION HOTELS,Pre-Approval
3688,COMPRI HOTELS,Pre-Approval
3689,CONSORT HOTELS,Pre-Approval
3690,COURTYARD BY MARRIOTT,Pre-Approval
3691,DILLION INNS,Pre-Approval
3692,DOUBLETREE HOTELS,Pre-Approval
3693,DRURY INNS,Pre-Approval
3694,ECONOMY INNS OF AMERICA,Pre-Approval
3695,EMBASSY SUITES,Pre-Approval
3696,EXEL INNS,Pre-Approval
3697,FARFIELD HOTELS,Pre-Approval
3698,HARLEY HOTELS,Pre-Approval
3699,MIDWAY MOTOR LODGE,Pre-Approval
3700,MOTEL 6,Pre-Approval
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),Pre-Approval
3702,THE REGISTRY HOTELS,Pre-Approval
3703,RESIDENCE INNS,Pre-Approval
3704,ROYCE HOTELS,Pre-Approval
3705,SANDMAN INNS,Pre-Approval
3706,SHILO INNS,Pre-Approval
3707,SHONEY'S INNS,Pre-Approval
3708,Hotels/Motels/Inns/Resorts,Pre-Approval
3709,SUPER8 MOTELS,Pre-Approval
3710,THE RITZ CARLTON HOTELS,Pre-Approval
3711,FLAG INNS (AUSRALIA),Pre-Approval
3712,GOLDEN CHAIN HOTEL,Pre-Approval
3713,QUALITY PACIFIC HOTEL,Pre-Approval
3714,FOUR SEASONS HOTEL (AUSTRALIA),Pre-Approval
3715,FARIFIELD INN,Pre-Approval
3716,CARLTON HOTELS,Pre-Approval
3717,CITY LODGE HOTELS,Pre-Approval
3718,KAROS HOTELS,Pre-Approval
3719,PROTEA HOTELS,Pre-Approval
3720,SOUTHERN SUN HOTELS,Pre-Approval
3721,HILTON CONRAD,Pre-Approval
3722,WYNDHAM HOTEL AND RESORTS,Pre-Approval
3723,RICA HOTELS,Pre-Approval
3724,INER NOR HOTELS,Pre-Approval
3725,SEAINES PLANATION,Pre-Approval
3726,RIO SUITES,Pre-Approval
3727,BROADMOOR HOTEL,Pre-Approval
3728,BALLY'S HOTEL AND CASINO,Pre-Approval
3729,JOHN ASCUAGA'S NUGGET,Pre-Approval
3730,MGM GRAND HOTEL,Pre-Approval
3731,HARRAH'S HOTELS AND CASINOS,Pre-Approval
